Market Code,ConsumedSaltwaterFinfish,PreCovidPaidPrice/kg,PostCovidPaidPrice/kg
15,Labeo rohita,250,230
15,Catla Catla,250,230
15,Cyprinus carpio,130,120
15,Hypophthalmichthys molitrix,150,110
15,Oreochromis mossambica,130,120
16,Mystus vittatus,400,350
16,Mugil cephalus,350,250
16,Pomadasys hasta,270,240
16,Labeo rohita,300,300
16,Catla Catla,200,190
16,Cyprinus carpio var. specularis,170,130
16,Hypophthalmichthys molitrix,160,120
17,Lates calcarifer,600,550
17,Labeo boga,400,400
17,Labeo rohita,300,300
17,Catla Catla,200,200
17,Cirrhinus cirrhosis,220,190
18,Lates calcarifer,700,600
18,Mystus vittatus,450,400
18,Pomadasys hasta,250,250
18,Labeo rohita,250,250
18,Catla Catla,200,200
18,Cirrhinus cirrhosis,220,180
18,Ctenopharyngodon idella,180,150
18,Puntius sarana,120,115
19,Mystus vittatus,300,250
19,Labeo boga,400,380
19,Scatophagus argus,300,270
19,Labeo rohita,200,200
19,Catla Catla,250,235
19,Cyprinus carpio,150,135
19,Cyprinus carpio var. specularis,160,120
20,Lates calcarifer,700,640
20,Mugil cephalus,400,300
20,Labeo boga,400,400
20,Labeo rohita,300,280
20,Catla Catla,200,180
20,Cirrhinus cirrhosis,200,160
20,Oreochromis mossambica,100,100
21,Lates calcarifer,500,450
21,Mugil cephalus,400,340
21,Labeo rohita,250,240
21,Catla Catla,270,260
21,Cirrhinus cirrhosis,200,180
21,Ctenopharyngodon idella,160,150
22,Lates calcarifer,600,550
22,Mystus vittatus,450,400
22,Scatophagus argus,230,210
22,Labeo rohita,300,280
22,Catla Catla,250,250
22,Cyprinus carpio,130,130
22,Hypophthalmichthys molitrix,120,100
23,Lates calcarifer,650,600
23,Mystus vittatus,500,400
23,Labeo boga,450,420
23,Labeo rohita,300,300
23,Catla Catla,300,280
23,Cyprinus carpio var. specularis,150,150
23,Ctenopharyngodon idella,150,150
23,Puntius sarana,120,100
24,Lates calcarifer,600,500
24,Mystus vittatus,450,400
24,Labeo rohita,250,230
24,Catla Catla,230,220
24,Cirrhinus cirrhosis,200,150
24,Oreochromis mossambica,115,110
25,Mystus vittatus,400,300
25,Mugil cephalus,350,300
25,Scatophagus argus,250,230
25,Labeo rohita,250,240
25,Catla Catla,200,210
25,Ctenopharyngodon idella,120,110
25,Oreochromis mossambica,80,75
25,Puntius sarana,110,90
26,Lates calcarifer,670,620
26,Mugil cephalus,400,350
26,Labeo boga,400,380
26,Labeo rohita,300,280
26,Catla Catla,300,270
26,Cirrhinus cirrhosis,180,150
26,Puntius sarana,110,90
27,Lates calcarifer,470,420
27,Mystus vittatus,500,400
27,Labeo rohita,300,300
27,Catla Catla,200,200
27,Cyprinus carpio,150,130
27,Oreochromis mossambica,60,60
27,Puntius sarana,120,110
28,Lates calcarifer,550,500
28,Mystus vittatus,450,350
28,Labeo rohita,270,250
28,Catla Catla,270,250
28,Cyprinus carpio var. specularis,150,130
28,Ctenopharyngodon idella,160,160
28,Oreochromis mossambica,90,85
29,Mugil cephalus,380,330
29,Labeo boga,400,400
29,Labeo rohita,300,270
29,Catla Catla,260,230
29,Cirrhinus cirrhosis,170,140
29,Ctenopharyngodon idella,120,120
30,Lates calcarifer,500,450
30,Mystus vittatus,350,300
30,Labeo rohita,250,230
30,Catla Catla,250,220
30,Cyprinus carpio var. specularis,180,170
30,Oreochromis mossambica,100,100
30,Puntius sarana,120,100
31,Lates calcarifer,600,550
31,Mugil cephalus,350,300
31,Labeo boga,475,435
31,Labeo rohita,250,240
31,Catla Catla,200,200
31,Cyprinus carpio,150,120
31,Ctenopharyngodon idella,150,160
32,Mystus vittatus,400,300
32,Mugil cephalus,370,270
32,Labeo boga,470,450
32,Labeo rohita,300,270
32,Catla Catla,300,270
32,Cirrhinus cirrhosis,220,180
32,Hypophthalmichthys molitrix,140,110
33,Lates calcarifer,680,630
33,Mugil cephalus,400,300
33,Labeo rohita,300,280
33,Catla Catla,270,270
33,Cirrhinus cirrhosis,220,170
33,Ctenopharyngodon idella,130,120
34,Lates calcarifer,550,500
34,Scatophagus argus,250,250
34,Pomadasys hasta,230,230
34,Labeo rohita,270,250
34,Catla Catla,270,250
34,Cyprinus carpio var. specularis,170,160
35,Mystus vittatus,350,300
